pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
229.03,-78.95,180.0,top,BT2,,,Battery_LiPo_Custom,Battery_Cell,tht
227.0,-97.5,0.0,top,BZ2,,,MagneticBuzzer_Kingstate_KCG0601,Buzzer,tht
214.9,-97.5,0.0,top,BZ3,,,MagneticBuzzer_Kingstate_KCG0601,Haptic_Vibration,tht
222.6,-113.95,-90.0,top,D2,,,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,NeoPixel_THT,smt
222.5,-96.748,180.0,top,J5,,,OLED_128x64,OLED_128x64,tht
213.0,-84.7,0.0,top,SW2,,,SW_CK_JS202011CQN_DPDT_Straight,SW_Slide_DPDT,tht
211.25,-112.5,0.0,top,SW3,,,SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243,SW_Push,tht
234.0,-112.5,180.0,top,SW4,,,SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243,SW_Push,tht
234.0,-117.0,180.0,top,SW5,,,SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243,SW_Push,tht
211.25,-117.0,0.0,top,SW6,,,SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243,SW_Push,tht
233.93,-91.11,180.0,bottom,U3,,,WEMOS_D1_mini_light,WEMOS_D1_mini,tht
